age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,predicted_output,actual_output
25,1,2,0,-221,1,0,2,23,8,250,1,-1,0,0,0
37,9,1,3,189,0,0,0,1,10,238,1,107,2,0,1
32,4,1,2,71,0,0,0,2,3,75,1,-1,0,0,0
36,0,2,1,206,1,0,2,8,8,183,1,-1,0,0,0
26,9,2,2,1066,0,0,0,15,0,200,1,-1,0,1,1
23,8,2,1,9216,0,0,0,5,6,471,2,-1,0,1,0
42,1,1,0,1673,1,0,0,17,0,636,3,-1,0,1,1
45,4,1,2,623,0,0,0,9,11,405,3,-1,0,1,0
37,4,1,2,0,0,0,0,16,5,268,2,182,3,1,1
51,0,1,1,176,0,0,0,28,4,214,1,183,2,1,0
31,1,2,0,216,1,0,2,21,8,565,1,-1,0,0,1
39,0,2,1,2263,1,1,1,21,9,1158,9,-1,0,1,1
49,1,1,1,1730,1,0,0,4,1,605,2,92,4,1,1
35,0,2,1,0,1,0,0,13,8,1073,1,-1,0,1,1
59,5,1,0,3400,1,0,0,5,1,515,3,-1,0,1,1
30,7,2,1,117,0,0,0,28,4,135,1,-1,0,0,0
36,4,1,2,1113,0,0,0,1,11,212,1,-1,0,1,1
23,7,2,1,31,0,0,0,1,6,192,1,-1,0,1,1
49,4,0,2,-2049,1,0,2,30,8,169,3,-1,0,0,0
34,1,2,1,341,1,0,2,8,8,195,1,-1,0,0,0
37,0,1,2,29,0,0,0,14,8,404,2,183,2,1,1
37,4,1,2,578,1,0,0,8,1,401,4,-1,0,0,0
56,4,1,2,2551,1,0,0,17,9,150,2,-1,0,0,0
22,8,2,1,0,0,0,0,6,3,229,6,-1,0,0,1
50,0,1,2,6574,0,0,0,8,11,495,1,92,3,1,1
34,9,1,1,1,0,0,0,28,1,535,2,-1,0,1,1
46,7,0,1,0,0,0,2,20,6,1023,3,-1,0,1,1
38,3,0,1,70,0,0,0,27,4,164,4,92,4,1,1
31,9,2,1,109,1,0,2,21,8,419,1,-1,0,0,0
31,7,2,1,-45,0,0,2,7,8,246,2,-1,0,0,0
24,1,2,1,167,0,1,0,18,3,134,2,-1,0,0,1
32,9,0,1,211,1,1,2,29,8,230,4,-1,0,0,0
52,1,0,0,-191,1,0,2,15,8,755,1,-1,0,1,1
47,1,1,1,802,1,1,0,12,8,289,2,-1,0,0,1
36,9,2,2,962,1,0,0,8,8,568,1,-1,0,1,1
49,4,1,2,1311,1,0,0,8,8,813,1,-1,0,1,1
50,11,1,3,558,0,0,0,9,5,464,1,683,6,1,1
47,1,1,1,292,0,0,0,10,3,277,1,-1,0,0,1
34,4,1,2,3301,1,0,0,17,11,164,5,92,6,1,1
38,7,2,2,1222,1,0,2,5,6,237,2,-1,0,0,0
44,1,1,1,3060,1,0,0,20,0,87,2,151,3,0,0
26,7,2,1,-72,1,0,2,30,6,82,9,-1,0,0,0
39,7,1,1,-971,1,1,2,28,8,104,2,-1,0,0,0
37,9,1,1,1707,1,0,0,26,5,546,2,784,3,1,1
35,6,2,2,1129,1,0,0,21,9,64,2,184,2,0,0
37,6,1,1,3396,0,0,0,18,1,69,6,-1,0,0,0
34,9,1,1,1035,0,0,0,25,1,1374,10,-1,0,1,1
32,0,2,1,620,1,0,2,26,8,1234,3,-1,0,1,1
50,4,1,1,2910,0,0,1,29,5,790,1,-1,0,1,0
37,4,1,2,630,0,0,0,30,0,315,1,87,1,1,1
39,10,1,0,7005,1,0,0,28,5,429,2,184,3,1,1
55,10,1,0,8585,0,0,1,28,4,201,2,-1,0,0,0
31,7,1,1,418,1,1,0,9,5,219,1,-1,0,0,0
44,9,1,2,1818,1,1,0,3,3,508,1,92,4,1,1
60,1,1,0,228,1,0,2,28,8,249,11,-1,0,0,0
42,3,1,0,4279,1,0,0,22,5,98,1,-1,0,0,0
36,1,1,0,2079,1,1,2,19,8,403,2,-1,0,0,0
52,0,2,1,-528,1,1,0,1,6,1144,2,-1,0,1,1
30,7,0,1,341,1,0,0,20,9,478,1,-1,0,1,1
57,4,0,2,6468,1,0,0,4,11,730,1,157,4,1,1
47,4,1,2,3663,0,0,0,30,7,364,3,-1,0,1,1
41,9,2,1,32,1,0,0,7,8,162,1,-1,0,0,0
35,1,1,0,159,1,1,0,12,8,826,1,-1,0,1,1
34,6,1,0,7468,1,1,0,30,0,383,1,-1,0,0,1
44,0,2,1,1534,0,0,0,10,9,95,1,95,3,1,1
32,2,2,2,7641,1,1,0,21,9,39,10,-1,0,0,0
34,9,2,1,0,0,0,0,28,1,195,6,-1,0,0,0
49,1,1,0,128,0,0,0,12,1,696,2,-1,0,1,1
32,1,2,0,1918,1,0,0,8,8,318,1,172,1,1,0
34,9,1,2,149,0,0,0,22,1,739,2,-1,0,1,1
34,1,1,1,-436,1,0,2,26,8,317,1,-1,0,0,0
36,0,2,1,10041,1,0,0,20,9,91,2,184,1,0,0
48,0,1,3,0,1,0,0,8,8,85,1,168,2,0,0
29,9,2,1,309,1,0,2,13,8,214,1,-1,0,0,0
54,9,0,1,859,0,1,0,21,5,710,1,-1,0,1,1
45,1,2,1,0,0,0,0,5,1,374,2,472,1,1,1
60,0,1,1,-396,1,0,0,11,8,443,1,350,1,1,0
30,1,2,1,-390,1,0,0,5,8,275,1,-1,0,0,0
39,7,0,1,1957,1,1,0,20,9,47,1,-1,0,0,0
60,7,1,2,4256,1,0,0,16,1,239,3,761,1,1,1
58,5,1,0,269,1,0,2,16,8,38,2,-1,0,0,0
45,1,1,0,1794,1,0,2,14,8,174,2,-1,0,0,0
42,4,1,2,-671,0,0,0,28,1,80,2,-1,0,0,0
32,4,2,2,1077,0,0,0,5,1,200,1,717,4,1,0
35,9,2,2,13460,1,0,0,15,8,1068,3,-1,0,1,1
73,5,1,0,253,0,0,0,20,0,345,1,-1,0,1,1
38,1,1,1,0,1,0,2,9,6,254,1,-1,0,0,0
37,9,2,2,1609,0,1,2,20,6,10,19,-1,0,0,0
36,0,1,2,29,0,0,0,12,1,576,1,-1,0,1,1
53,7,1,1,197,1,0,0,17,0,307,1,-1,0,0,0
51,0,0,1,340,1,0,2,8,8,186,1,-1,0,0,0
52,6,1,2,2289,1,1,0,21,9,81,1,-1,0,0,0
41,7,1,1,2085,1,0,2,26,8,125,4,-1,0,0,0
74,5,1,1,3771,0,0,1,16,0,159,1,-1,0,1,0
46,4,1,3,802,1,0,1,25,5,417,1,-1,0,1,0
33,9,1,1,177,1,1,0,12,8,22,8,-1,0,0,0
27,1,2,1,535,0,0,0,16,1,265,3,95,4,1,1
40,7,1,0,-9,1,0,2,15,8,920,2,-1,0,1,1
52,1,1,1,1117,1,0,0,13,8,365,1,-1,0,0,0
34,2,1,1,1368,1,0,0,18,9,252,2,-1,0,0,0
38,0,0,1,0,0,0,2,5,6,56,1,-1,0,0,0
48,9,1,1,862,0,0,0,30,5,160,2,-1,0,0,0
42,4,1,3,849,1,0,0,8,10,667,1,321,1,1,1
32,9,1,2,514,1,0,2,20,8,414,2,-1,0,0,0
35,9,1,2,1354,0,0,0,2,6,250,2,-1,0,1,1
47,7,0,2,1639,0,0,0,12,4,349,1,-1,0,0,1
29,10,2,0,1374,0,0,0,14,8,1205,2,178,7,1,1
59,1,1,3,337,0,0,2,18,6,100,4,-1,0,0,0
55,9,1,1,-308,0,0,0,2,3,781,1,-1,0,1,1
64,5,1,1,4787,0,0,0,28,10,501,1,-1,0,1,1
34,1,2,1,215,0,0,0,3,7,350,3,-1,0,1,1
24,8,2,1,493,1,0,0,13,8,85,4,358,1,0,0
84,5,0,0,639,0,0,1,18,8,353,3,-1,0,1,1
32,9,2,2,6281,1,0,2,3,6,1336,4,-1,0,1,1
31,4,2,2,471,0,0,0,29,1,153,2,-1,0,0,0
31,4,1,2,927,0,0,0,18,1,100,4,-1,0,0,0
56,5,0,0,694,0,0,0,29,4,144,1,102,1,1,1
33,1,1,1,58,0,0,2,16,8,144,2,-1,0,0,0
58,5,1,1,19,0,1,0,15,5,106,3,-1,0,0,0
55,9,1,2,1320,0,0,0,28,5,340,1,91,2,1,1
57,0,2,1,5768,1,0,2,19,6,512,1,-1,0,0,1
43,1,1,0,0,1,0,2,20,8,592,1,-1,0,0,0
55,4,1,1,0,1,0,2,13,8,309,2,-1,0,0,0
59,5,1,2,1296,0,0,0,11,1,862,11,-1,0,1,0
41,3,1,0,365,0,0,0,8,1,203,5,-1,0,0,0
78,5,0,0,1389,0,0,0,8,0,335,1,-1,0,1,1
46,1,1,1,524,1,0,1,5,8,15,7,-1,0,0,0
56,6,1,2,411,0,0,2,19,6,145,4,-1,0,0,0
36,10,0,1,8267,0,0,2,18,6,321,2,-1,0,0,0
45,10,1,1,2040,0,0,1,2,3,803,1,-1,0,1,1
39,3,1,0,13338,0,0,0,11,1,103,4,-1,0,0,0
40,1,1,1,750,1,1,0,16,0,340,1,281,1,0,0
33,9,1,1,4,1,1,2,18,6,625,2,-1,0,0,1
36,0,0,2,125,1,0,2,26,8,172,1,-1,0,0,0
29,1,2,0,213,1,0,2,6,6,2653,3,-1,0,1,1
58,5,0,2,3237,0,0,1,31,10,615,1,-1,0,1,1
32,4,2,2,2069,0,0,0,22,0,545,1,-1,0,1,1
41,4,1,2,144,0,0,0,27,3,123,3,-1,0,0,0
27,9,2,1,439,1,0,0,15,0,1038,2,-1,0,1,1
56,4,1,2,-6,0,0,1,31,5,29,16,-1,0,0,0
43,4,1,2,2383,0,0,0,13,1,379,6,-1,0,0,1
24,6,2,2,2376,0,0,0,27,0,122,1,-1,0,1,1
53,9,1,2,395,0,0,0,29,10,136,1,148,1,0,1
37,9,1,2,122,0,0,0,25,6,266,2,318,3,1,1
31,6,1,2,168,0,0,0,4,3,193,2,-1,0,0,1
35,9,1,1,0,1,0,0,9,9,524,1,96,5,1,1
72,5,1,0,4657,0,0,0,22,2,305,3,309,5,1,1
29,4,1,2,247,0,0,0,16,11,143,2,587,3,0,1
61,1,0,0,1428,1,0,2,5,8,82,2,-1,0,0,0
28,9,2,1,2034,1,0,2,21,8,196,1,-1,0,0,0
35,4,1,2,0,1,0,0,11,9,229,2,96,3,1,1
36,0,1,3,991,0,0,0,14,4,589,2,-1,0,1,1
35,3,2,0,745,0,0,1,5,6,522,3,-1,0,1,1
27,7,2,1,504,1,0,0,18,8,106,5,362,8,0,0
30,1,1,1,0,1,0,2,26,8,30,1,-1,0,0,0
49,2,1,2,313,1,0,0,17,9,42,2,188,2,0,0
57,1,1,3,3196,0,0,0,28,1,161,4,-1,0,0,0
32,4,2,2,4291,0,0,0,7,1,1321,9,-1,0,1,1
40,6,1,1,1516,1,1,2,23,8,373,1,-1,0,0,0
36,0,2,1,115,0,0,0,4,8,134,3,91,1,0,0
38,9,2,1,103,1,0,0,2,3,159,1,187,3,0,0
23,7,2,1,488,0,0,0,30,7,236,1,92,2,1,1
72,0,1,0,2321,0,0,0,14,11,221,2,64,12,1,1
35,7,1,1,819,1,0,1,14,5,102,14,-1,0,0,0
32,4,2,1,131,1,1,0,23,5,1152,2,-1,0,1,1
35,10,2,0,68,0,0,0,3,5,175,1,-1,0,0,1
58,1,1,0,3109,0,0,0,29,6,295,1,287,4,1,1
31,1,1,1,892,1,0,0,29,5,25,22,-1,0,0,0
57,5,0,2,734,0,0,0,6,1,1357,4,-1,0,1,1
32,4,2,2,2,1,0,0,11,11,100,2,-1,0,1,1
32,1,2,0,611,1,0,2,8,8,541,3,-1,0,0,1
41,0,2,1,812,0,1,2,11,6,583,4,-1,0,0,1
51,2,1,2,36935,1,0,0,21,9,41,1,-1,0,0,0
38,9,1,1,20,0,0,0,2,3,147,1,-1,0,0,0
44,4,1,2,1138,0,0,0,27,1,523,3,-1,0,1,1
71,5,1,1,1696,0,0,0,6,10,486,1,-1,0,1,1
72,5,1,2,2,0,0,0,7,1,147,2,-1,0,0,1
67,5,1,0,2391,0,0,0,28,6,737,6,186,10,1,1
51,6,1,2,5350,1,1,0,31,5,612,4,-1,0,1,1
38,1,0,1,0,1,0,0,21,10,576,1,183,4,1,1
57,10,1,2,209,0,0,2,19,6,453,1,-1,0,0,0
32,4,2,2,0,1,0,0,20,0,415,2,-1,0,1,0
27,1,2,0,1128,1,0,2,30,6,88,4,-1,0,0,0
46,4,2,2,2044,0,0,1,4,3,25,1,-1,0,0,0
29,9,0,1,124,0,0,2,27,8,125,1,-1,0,0,0
33,0,1,1,1077,1,0,0,18,8,432,3,374,3,1,0
31,4,0,2,-6,0,1,0,22,1,119,6,-1,0,0,0
39,9,2,1,681,1,0,2,5,6,170,1,-1,0,0,0
42,1,1,1,879,1,0,0,18,9,140,1,-1,0,0,0
47,9,0,1,1013,0,0,0,15,6,54,3,-1,0,0,0
31,0,2,1,690,0,0,0,4,8,10,4,87,12,0,0
27,9,2,2,2781,1,0,0,24,8,168,1,389,1,0,1
49,9,1,1,808,1,0,0,28,4,1232,1,-1,0,1,1
57,5,1,0,3518,1,0,0,25,1,626,3,-1,0,1,1
34,1,1,1,467,1,0,0,13,8,195,2,357,2,0,0
30,0,2,1,223,1,0,2,6,6,862,11,-1,0,1,1
50,10,1,1,297,1,0,0,31,5,29,10,-1,0,0,0
33,9,1,1,1968,1,0,0,20,0,1817,3,-1,0,1,1
28,9,2,2,375,1,0,0,14,8,43,1,350,1,0,0
22,9,2,1,283,1,0,0,22,7,254,2,-1,0,0,1
36,0,2,1,191,1,0,0,25,5,18,7,-1,0,0,0
42,11,2,3,942,0,0,0,27,4,245,1,92,2,1,1
47,7,1,1,405,0,1,0,8,1,994,2,-1,0,1,1
22,0,2,2,897,1,0,0,4,3,133,4,-1,0,0,1
45,2,1,2,20138,1,0,0,20,9,871,5,-1,0,1,1
59,1,1,1,0,1,0,2,5,8,226,1,-1,0,0,0
33,4,0,2,280,0,1,0,18,9,155,1,-1,0,0,0
34,4,1,2,8,0,0,0,25,1,169,4,-1,0,0,0
36,7,1,1,3740,1,0,0,7,0,254,1,-1,0,0,0
26,9,1,1,744,0,0,0,15,0,609,1,-1,0,1,0
38,2,1,1,593,1,1,0,24,5,1484,24,-1,0,1,1
43,1,1,1,184,0,1,0,16,5,1019,11,-1,0,1,1
35,6,1,2,2427,0,0,0,12,1,175,3,31,10,1,1
56,7,1,0,486,0,1,1,21,5,1877,1,-1,0,1,1
46,6,1,1,706,0,0,0,21,8,588,1,386,3,1,1
55,11,1,1,1157,0,0,0,12,5,289,1,412,2,1,0
42,9,0,2,802,0,0,1,28,4,119,2,-1,0,0,0
53,4,1,2,9072,0,0,0,18,9,117,2,-1,0,0,0
21,2,2,2,2077,0,0,0,5,1,323,1,-1,0,0,1
42,7,1,2,12223,1,0,0,19,9,36,1,-1,0,0,0
60,5,0,1,1099,0,0,0,11,5,764,2,-1,0,1,1
35,0,1,1,0,0,0,0,7,5,78,11,-1,0,0,0
54,4,1,2,154,0,0,2,9,8,155,3,-1,0,0,0
28,1,2,1,517,0,1,0,8,5,681,1,-1,0,1,1
50,9,1,1,1838,1,1,0,13,1,221,8,-1,0,0,0
31,4,2,2,3384,0,0,0,22,7,247,3,187,3,1,1
40,1,1,1,1808,1,0,0,12,8,560,1,-1,0,1,1
36,9,0,2,119,0,0,0,23,5,127,8,-1,0,0,0
39,9,0,1,385,0,0,0,13,10,242,1,48,2,1,1
60,5,0,1,545,1,0,2,6,8,1030,1,-1,0,1,1
65,10,1,1,3195,0,0,1,2,7,904,1,-1,0,0,1
26,1,2,1,535,0,0,0,14,1,125,1,-1,0,0,1
59,0,1,0,1040,0,0,1,31,5,733,1,-1,0,1,0
38,10,2,1,804,0,0,0,1,6,1087,1,-1,0,1,1
53,9,0,2,2228,0,0,0,17,9,890,1,-1,0,1,1
29,4,1,2,0,1,1,0,15,5,218,1,-1,0,0,0
33,4,0,2,2885,0,0,0,5,1,1051,2,-1,0,1,1
29,4,1,2,314,0,0,2,28,8,938,2,-1,0,1,1
59,5,0,0,217,1,0,2,26,8,574,3,-1,0,0,0
